date,vendor_id,rate
2019-08-01,1,0.29
2019-08-01,2,0.07
2019-08-01,3,0.27
2019-08-01,4,0.14
2019-08-01,5,0.05
2019-08-01,6,0.24
2019-08-01,7,0.29
2019-08-01,8,0.22
2019-08-01,9,0.24
2019-08-02,1,0.27
2019-08-02,2,0.19
2019-08-02,3,0.17
2019-08-02,4,0.09
2019-08-02,5,0.12
2019-08-02,6,0.1
2019-08-02,7,0.2
2019-08-02,8,0.14
2019-08-02,9,0.12
2019-08-03,1,0.05
2019-08-03,2,0.17
2019-08-03,3,0.22
2019-08-03,4,0.15
2019-08-03,5,0.22
2019-08-03,6,0.25
2019-08-03,7,0.28
2019-08-03,8,0.22
2019-08-03,9,0.15
2019-08-04,1,0.09
2019-08-04,2,0.07
2019-08-04,3,0.19
2019-08-04,4,0.14
2019-08-04,5,0.12
2019-08-04,6,0.06
2019-08-04,7,0.19
2019-08-04,8,0.11
2019-08-04,9,0.14
2019-08-05,1,0.19
2019-08-05,2,0.15
2019-08-05,3,0.25
2019-08-05,4,0.2
2019-08-05,5,0.21
2019-08-05,6,0.16
2019-08-05,7,0.12
2019-08-05,8,0.16
2019-08-05,9,0.17
2019-08-06,1,0.23
2019-08-06,2,0.24
2019-08-06,3,0.27
2019-08-06,4,0.2
2019-08-06,5,0.27
2019-08-06,6,0.27
2019-08-06,7,0.25
2019-08-06,8,0.11
2019-08-06,9,0.26
2019-08-07,1,0.27
2019-08-07,2,0.23
2019-08-07,3,0.19
2019-08-07,4,0.07
2019-08-07,5,0.11
2019-08-07,6,0.15
2019-08-07,7,0.25
2019-08-07,8,0.21
2019-08-07,9,0.11
2019-08-08,1,0.17
2019-08-08,2,0.16
2019-08-08,3,0.13
2019-08-08,4,0.3
2019-08-08,5,0.24
2019-08-08,6,0.22
2019-08-08,7,0.06
2019-08-08,8,0.22
2019-08-08,9,0.1
2019-08-09,1,0.18
2019-08-09,2,0.06
2019-08-09,3,0.28
2019-08-09,4,0.18
2019-08-09,5,0.13
2019-08-09,6,0.12
2019-08-09,7,0.17
2019-08-09,8,0.09
2019-08-09,9,0.09
2019-08-10,1,0.23
2019-08-10,2,0.19
2019-08-10,3,0.24
2019-08-10,4,0.19
2019-08-10,5,0.07
2019-08-10,6,0.07
2019-08-10,7,0.27
2019-08-10,8,0.19
2019-08-10,9,0.16
2019-08-11,1,0.29
2019-08-11,2,0.28
2019-08-11,3,0.17
2019-08-11,4,0.22
2019-08-11,5,0.07
2019-08-11,6,0.24
2019-08-11,7,0.07
2019-08-11,8,0.16
2019-08-11,9,0.29
2019-08-12,1,0.23
2019-08-12,2,0.08
2019-08-12,3,0.17
2019-08-12,4,0.23
2019-08-12,5,0.06
2019-08-12,6,0.17
2019-08-12,7,0.12
2019-08-12,8,0.17
2019-08-12,9,0.08
2019-08-13,1,0.25
2019-08-13,2,0.13
2019-08-13,3,0.08
2019-08-13,4,0.05
2019-08-13,5,0.24
2019-08-13,6,0.2
2019-08-13,7,0.13
2019-08-13,8,0.09
2019-08-13,9,0.11
2019-08-14,1,0.1
2019-08-14,2,0.1
2019-08-14,3,0.08
2019-08-14,4,0.24
2019-08-14,5,0.28
2019-08-14,6,0.13
2019-08-14,7,0.21
2019-08-14,8,0.18
2019-08-14,9,0.13
2019-08-15,1,0.28
2019-08-15,2,0.18
2019-08-15,3,0.18
2019-08-15,4,0.23
2019-08-15,5,0.17
2019-08-15,6,0.17
2019-08-15,7,0.12
2019-08-15,8,0.26
2019-08-15,9,0.25
2019-08-16,1,0.2
2019-08-16,2,0.05
2019-08-16,3,0.15
2019-08-16,4,0.12
2019-08-16,5,0.22
2019-08-16,6,0.3
2019-08-16,7,0.29
2019-08-16,8,0.29
2019-08-16,9,0.05
2019-08-17,1,0.29
2019-08-17,2,0.07
2019-08-17,3,0.16
2019-08-17,4,0.24
2019-08-17,5,0.21
2019-08-17,6,0.28
2019-08-17,7,0.17
2019-08-17,8,0.29
2019-08-17,9,0.07
2019-08-18,1,0.18
2019-08-18,2,0.08
2019-08-18,3,0.07
2019-08-18,4,0.2
