order_id,product_id,product_description,product_price,product_vat_rate,discount_rate,quantity,full_price_amount,discounted_amount,vat_amount,total_amount
2,794,IBM 032,21873,0.11,0,49,1071777,1071777,117895.47,1189672.47
2,780,IBM 003,94046,0.2,0.7612934461294719,29,2727334,651032.5003939229,130206.5000787846,781239.0004727074
2,521,Deskjet 995c / 995ck,47082,0.11,0,20,941640,941640,103580.4,1045220.4
2,835,A388C (Accompli 388),55162,0,0,50,2758100,2758100,0,2758100
2,580,Officejet 330,15927,0.11,0,46,732642,732642,80590.62,813232.62
2,365,QM3,33152,0.2,0,11,364672,364672,72934.40000000001,437606.4
2,417,GS8,96066,0.11,0,22,2113452,2113452,232479.72,2345931.72
2,462,Deskjet 610c / 610cl,1037,0.2,0.5222030877456142,33,34221,16350.688134257336,3270.1376268514673,19620.825761108805
2,589,Officejet 720,98827,0,0.042481093923956825,30,2964810,2838861.6279233135,0.0,2838861.6279233135
2,428,XC60,76782,0,0,30,2303460,2303460,0,2303460
2,480,Deskjet 697c,62009,0,0,27,1674243,1674243,0,1674243
2,477,Deskjet 693c,38209,0,0.6747173985035544,28,1069852,348004.24177617533,0.0,348004.24177617533
2,549,Deskjet 6620,13463,0,0,26,350038,350038,0,350038
2,590,Officejet 725,30347,0,0.4854387715074865,29,880063,452846.2984308069,0.0,452846.2984308069
2,792,IBM 029,47535,0.11,0,8,380280,380280,41830.8,422110.8
2,822,MicroTAC Alpha,65335,0,0,12,784020,784020,0,784020
2,517,Deskjet 960c / 960cse / 960cxi,77184,0,0,3,231552,231552,0,231552
2,640,Officejet Pro 1170c / 1170cse / 1170cxi,61714,0,0,35,2159990,2159990,0,2159990
2,830,MicroTAC DPC Series,28791,0,0.7863999532961412,15,431865,92246.38416976196,0.0,92246.38416976196
3,372,Kodiaq,19169,0.11,0,17,325873,325873,35846.03,361719.03
3,316,GLA-Class,12730,0.11,0,33,420090,420090,46209.9,466299.9
3,843,A910/A910i,4415,0.11,0,4,17660,17660,1942.6,19602.6
3,266,Wrangler Unlimited/Wrangler 4 door,31715,0,0,10,317150,317150,0,317150
3,254,ESQ,45130,0,0.8745773478911733,8,361040,45282.59431737079,0.0,45282.59431737079
3,573,Deskjet All-in-one F4185,40081,0,0,14,561134,561134,0,561134
3,164,Trax,54644,0.2,0.6448541110695423,28,1530032,543384.5747320461,108676.91494640923,652061.4896784553
3,835,A388C (Accompli 388),97409,0.2,0,50,4870450,4870450,974090.0,5844540.0
3,510,Deskjet 940c / 940cvr / 940cw / 940cxi,74671,0,0,10,746710,746710,0,746710
3,296,MKC,7321,0.11,0,7,51247,51247,5637.17,56884.17
3,1,Oréos 2X,74802,0,0,22,1645644,1645644,0,1645644
4,473,Deskjet 680c,57611,0.2,0,37,2131607,2131607,426321.4,2557928.4
4,95,Cobus 2700,99212,0,0,8,793696,793696,0,793696
4,837,A768,86732,0.11,0,23,1994836,1994836,219431.96,2214267.96
4,138,FRV Cross,56263,0,0.22788707568122946,37,2081731,1607331.4100550385,0.0,1607331.4100550385
4,677,Photosmart 245,99377,0.2,0,24,2385048,2385048,477009.60000000003,2862057.6
4,612,Officejet 9110,73253,0,0,8,586024,586024,0,586024
4,115,Q2,52078,0.2,0.8778531848730508,12,624936,76333.9420581751,15266.788411635021,91600.73046981012
4,415,GS3,97680,0,0.18637079447645033,3,293040,238425.902386621,0.0,238425.902386621
5,736,Photosmart C7288,38757,0,0,26,1007682,1007682,0,1007682
5,485,Deskjet 810c,97214,0,0,42,4082988,4082988,0,4082988
5,473,Deskjet 680c,43004,0.2,0,48,2064192,2064192,412838.4,2477030.4
5,40,МАЗ-205 (автобус),3619,0,0.6355950487325546,22,79618,29013.193410011467,0.0,29013.193410011467
5,397,Nexon,90033,0.11,0,11,990363,990363,108939.93000000001,1099302.93
5,440,Deskjet 200cci,30745,0.11,0,7,215215,215215,23673.65,238888.65
5,23,Ikarus 31,82113,0.11,0,26,2134938,2134938,234843.18,2369781.18
5,111,LX,42292,0.11,0,31,1311052,1311052,144215.72,1455267.72
5,332,Juke,68346,0,0,13,888498,888498,0,888498
5,224,Haval H5,17895,0.11,0,1,17895,17895,1968.45,19863.45
5,270,Borrego/Mohave,71986,0.11,0,2,143972,143972,15836.92,159808.92
5,685,Photosmart 1215,83149,0,0.3168186023330267,19,1579831,1079311.1506576121,0.0,1079311.1506576121
6,767,DC24,34094,0.11,0.0717155957843999,22,750068,696276.4265011868,76590.40691513054,772866.8334163174
6,195,Besturn X80,30302,0.2,0,7,212114,212114,42422.8,254536.8
6,858,Canon J II,9063,0.11,0.26714426413821957,32,290016,212539.88909169013,23379.387800085915,235919.27689177604
6,42,Ikarus 250,24806,0.11,0,35,868210,868210,95503.1,963713.1
6,193,Artemis,29400,0.11,0,4,117600,117600,12936.0,130536.0
6,565,Deskjet D2545,84200,0.2,0,46,3873200,3873200,774640.0,4647840.0
6,624,Officejet k80 / k80xi,82655,0.2,0.6274105160824347,19,1570445,585131.2920709208,117026.25841418417,702157.550485105
6,237,CR-V,49356,0.11,0,4,197424,197424,21716.64,219140.64
6,623,Officejet k60 / k60xi,1244,0.2,0,2,2488,2488,497.6,2985.6
6,736,Photosmart C7288,11203,0.2,0,4,44812,44812,8962.4,53774.4
6,328,Outlander PHEV,30310,0.11,0,27,818370,818370,90020.7,908390.7
6,78,PAZ-672,81277,0,0,29,2357033,2357033,0,2357033
6,20,Škoda 28Tr Solaris,69643,0.11,0,43,2994649,2994649,329411.39,3324060.39
6,542,Deskjet 5550 / 5551 / 5552,68818,0,0,30,2064540,2064540,0,2064540
6,784,IBM 013,46634,0.11,0,2,93268,93268,10259.48,103527.48
6,794,IBM 032,19050,0.11,0.38804837295431227,43,819150,501280.1752944751,55140.819282392265,556420.9945768673
7,285,Range Rover Sport,71562,0.2,0,41,2934042,2934042,586808.4,3520850.4
7,12,Škoda 21Ab,15722,0.11,0,28,440216,440216,48423.76,488639.76
7,718,Photosmart A610 series,38031,0.2,0,43,1635333,1635333,327066.60000000003,1962399.6
7,199,Freemont,4463,0.11,0,46,205298,205298,22582.78,227880.78
7,352,SUV,40087,0,0.29685634454016574,21,841827,591925.3140447859,0.0,591925.3140447859
7,113,Humvee C-Series,88892,0.11,0.513715804119819,21,1866732,907762.269543802,99853.84964981822,1007616.1191936203
7,70,Ikarus 480,49799,0.2,0,26,1294774,1294774,258954.80000000002,1553728.8
7,727,Photosmart C4780,86028,0.11,0,7,602196,602196,66241.56,668437.56
7,601,Officejet 6210,94686,0,0,50,4734300,4734300,0,4734300
8,354,Macan,93450,0,0,18,1682100,1682100,0,1682100
8,43,МАЗ-251,57981,0,0,1,57981,57981,0,57981
8,640,Officejet Pro 1170c / 1170cse / 1170cxi,25516,0.2,0,31,790996,790996,158199.2,949195.2
8,485,Deskjet 810c,56815,0.11,0.03467058335181439,17,965855,932368.2437167333,102560.50680884067,1034928.750525574
8,188,Fengshen AX3,15582,0.2,0.9761030040123717,44,685608,16383.971625085804,3276.794325017161,19660.765950102963
8,869,Canon IV SB,80122,0.11,0.08224455900476313,21,1682562,1544180.4303118277,169859.84733430104,1714040.2776461288
8,28,Ikarus 55,2515,0,0.488943417565606,37,93055,47556.370278432536,0.0,47556.370278432536
8,786,IBM 016,30552,0.11,0,34,1038768,1038768,114264.48,1153032.48
8,39,MAZ-203,18040,0.11,0.04717813073871546,50,902000,859445.3260736787,94538.98586810466,953984.3119417833
8,56,Ikarus 350,82644,0.2,0,37,3057828,3057828,611565.6,3669393.6
8,520,Deskjet 990 cm / 990cse/ 990cxi,20763,0,0.36811705606177203,39,809757,511671.6370345877,0.0,511671.6370345877
8,81,Fiat 682RN,92483,0.2,0,20,1849660,1849660,369932.0,2219592.0
8,12,Škoda 21Ab,4292,0.2,0,11,47212,47212,9442.4,56654.4
8,659,PSC 1310,4385,0.11,0,11,48235,48235,5305.85,53540.85
8,239,Ridgeline,52744,0.11,0.3751131411419133,33,1740552,1087648.0719591605,119641.28791550765,1207289.359874668
8,582,Officejet 500 series,22205,0.2,0.1941901479832272,26,577330,465218.20186484343,93043.64037296869,558261.8422378121
8,577,Officejet [2],52013,0.2,0.3477133150182081,29,1508377,983894.2330327802,196778.84660655606,1180673.0796393363
8,23,Ikarus 31,8258,0.2,0,13,107354,107354,21470.800000000003,128824.8
8,804,IBM 047,63533,0.2,0,44,2795452,2795452,559090.4,3354542.4
9,182,Winstorm,5870,0.11,0.7880293239824819,3,17610,3732.803604668494,410.60839651353433,4143.412001182028
9,67,Alfa Romeo 430A,76083,0.11,0,9,684747,684747,75322.17,760069.17
9,200,Explorer,19981,0.11,0,34,679354,679354,74728.94,754082.94
9,359,Captur,91011,0,0,1,91011,91011,0,91011
9,539,Deskjet 3910 / 3915 / 3918 / 3920 / 3930 / 3938 / 3940,53976,0,0,14,755664,755664,0,755664
9,396,Aria,81287,0.2,0.9731567086611298,27,2194749,58914.28682269389,11782.857364538779,70697.14418723267
9,567,Deskjet D2660,94925,0.2,0,25,2373125,2373125,474625.0,2847750.0
9,797,IBM 036,2425,0.11,0,32,77600,77600,8536.0,86136.0
9,198,Panda 4x4,39818,0.11,0,34,1353812,1353812,148919.32,1502731.32
9,480,Deskjet 697c,49444,0.11,0,38,1878872,1878872,206675.92,2085547.92
9,729,Photosmart C5180,12386,0.11,0.3462183684802712,27,334422,218638.96077609074,24050.28568536998,242689.24646146072
9,115,Q2,82964,0.2,0,35,2903740,2903740,580748.0,3484488.0
9,228,Santa Fe,57700,0.2,0,50,2885000,2885000,577000.0,3462000.0
9,799,IBM 040,42840,0.11,0,29,1242360,1242360,136659.6,1379019.6
9,823,MicroTAC Lite,96626,0,0,1,96626,96626,0,96626
9,239,Ridgeline,66716,0.11,0,8,533728,533728,58710.08,592438.08
9,501,Deskjet 882c,37198,0,0.02632119285185064,18,669564,651940.2768293435,0.0,651940.2768293435
9,303,Thar,27516,0,0,17,467772,467772,0,467772
9,230,Trax,37069,0.11,0.8712900755895089,33,1223277,157447.89020309225,17319.267922340146,174767.15812543238
10,803,IBM 046,37057,0.11,0,2,74114,74114,8152.54,82266.54
10,839,A853 (MILESTONE),98414,0,0,44,4330216,4330216,0,4330216
10,154,CS35,46525,0.11,0,24,1116600,1116600,122826.0,1239426.0
10,379,Rexton,69124,0.2,0,25,1728100,1728100,345620.0,2073720.0
10,871,Canon II F,55144,0,0,33,1819752,1819752,0,1819752
10,338,Rogue,29865,0,0,32,955680,955680,0,955680
10,272,Niro,61055,0,0,44,2686420,2686420,0,2686420
10,273,Seltos,55945,0.2,0.034554616431309415,2,111890,108023.6839675008,21604.73679350016,129628.42076100095
11,681,Photosmart 385,63635,0.2,0,14,890890,890890,178178.0,1069068.0
11,262,I-Pace,81087,0,0,34,2756958,2756958,0,2756958
11,512,Deskjet 950c,25299,0.2,0,49,1239651,1239651,247930.2,1487581.2
11,4,Škoda 6Tr,61684,0,0,7,431788,431788,0,431788
11,147,Escalade,12672,0,0,27,342144,342144,0,342144
11,710,Photosmart 7760,82677,0.2,0,34,2811018,2811018,562203.6,3373221.6
11,775,DC43,27784,0.2,0.3957728183312147,37,1028008,621150.3765729647,124230.07531459295,745380.4518875576
11,108,CDX,20682,0,0,10,206820,206820,0,206820
12,149,XT4,84941,0.2,0.43424977783400476,45,3822345,2162492.532945081,432498.50658901624,2594991.0395340975
12,400,Model X,96669,0.2,0,28,2706732,2706732,541346.4,3248078.4
12,86,Alfa Romeo 900A,63313,0.2,0.227320288360096,29,1836077,1418699.44690866,283739.88938173203,1702439.336290392
12,408,Fortuner,44010,0,0,14,616140,616140,0,616140
12,275,Sportage,24136,0.11,0,42,1013712,1013712,111508.32,1125220.32
12,353,SUT,93821,0,0.5375362391901517,3,281463,130166.43750882233,0.0,130166.43750882233
12,877,Canon II F2,97536,0,0,49,4779264,4779264,0,4779264
12,57,Iveco 370,16211,0.11,0.9738119243760385,14,226954,5943.48851516057,653.7837366676628,6597.2722518282335
12,293,UX,31867,0,0,3,95601,95601,0,95601
12,216,Terrain,19328,0.2,0,46,889088,889088,177817.6,1066905.6
12,442,Deskjet 310 / 310 with Sheetfeeder,13420,0.11,0,30,402600,402600,44286.0,446886.0
12,296,MKC,81647,0.11,0,31,2531057,2531057,278416.27,2809473.27
13,567,Deskjet D2660,14471,0,0,10,144710,144710,0,144710
13,627,Officejet L7700 series,99996,0.2,0.641094761666042,4,399984,143556.35284976987,28711.270569953977,172267.62341972385
13,613,Officejet 9120,29633,0.11,0.33001041697877,42,1244586,833859.6551740606,91724.56206914666,925584.2172432073
13,9,Škoda 14Tr,85958,0.11,0,40,3438320,3438320,378215.2,3816535.2
13,755,7730,61807,0.11,0,49,3028543,3028543,333139.73,3361682.73
13,704,Photosmart 7460,96769,0,0,27,2612763,2612763,0,2612763
13,16,Škoda 24Tr Irisbus,85344,0.11,0,1,85344,85344,9387.84,94731.84
14,53,Fiat 320,62774,0.11,0,28,1757672,1757672,193343.92,1951015.92
14,95,Cobus 2700,90217,0,0.219634633154159,3,270651,211206.6669021937,0.0,211206.6669021937
14,426,Touareg,80624,0,0.8284279856126452,34,2741216,470315.9509908473,0.0,470315.9509908473
14,139,V3,36733,0.2,0,46,1689718,1689718,337943.60000000003,2027661.6
14,465,Deskjet 632c,12463,0,0.5555178153646304,9,112167,49856.2332039955,0.0,49856.2332039955
14,106,Volvo 9700,9417,0.2,0,31,291927,291927,58385.4,350312.4
15,699,Photosmart 7150,32302,0.11,0.1782336809021403,50,1615100,1327234.7819749531,145995.82601724484,1473230.6079921979
15,22,Škoda 30Tr SOR,69431,0,0,27,1874637,1874637,0,1874637
15,230,Trax,83385,0,0.39922910128472155,14,1167390,701333.9394512288,0.0,701333.9394512288
15,794,IBM 032,49138,0.2,0,43,2112934,2112934,422586.80000000005,2535520.8
15,418,Patriot,62269,0.11,0,43,2677567,2677567,294532.37,2972099.37
15,433,SR7,92834,0.11,0,10,928340,928340,102117.4,1030457.4
15,704,Photosmart 7460,84791,0,0,42,3561222,3561222,0,3561222
15,524,Deskjet 1120c / 1120cse / 1120cxi,3013,0,0.07067240325286284,26,78338,72801.66527397723,0.0,72801.66527397723
15,478,Deskjet 694c,19278,0.11,0.7286445917448372,29,559062,151704.4972499478,16687.494697494258,168391.99194744206
16,4,Škoda 6Tr,6349,0,0,50,317450,317450,0,317450
16,191,3 Crossback,97536,0.2,0,50,4876800,4876800,975360.0,5852160.0
16,806,IBM 052,93134,0.11,0,18,1676412,1676412,184405.32,1860817.32
16,346,Mokka X,50071,0,0,21,1051491,1051491,0,1051491
16,295,X50,32974,0,0,15,494610,494610,0,494610
16,874,Canon IV Sb2,71990,0.2,0,24,1727760,1727760,345552.0,2073312.0
16,288,X7,21825,0,0.571423451854896,3,65475,28061.049489800687,0.0,28061.049489800687
16,224,Haval H5,84672,0,0,7,592704,592704,0,592704
16,807,IBM 053,81738,0.2,0,6,490428,490428,98085.6,588513.6
