id,description
1,Oréos 2X
2,Škoda 3Tr
3,Oréos 4X
4,Škoda 6Tr
5,Škoda 7Tr
6,Škoda 8Tr
7,Škoda 9Tr
8,Ashok Leyland 12M
9,Škoda 14Tr
10,Škoda 15Tr
11,Škoda 17Tr
12,Škoda 21Ab
13,Škoda 21Tr
14,Škoda 22Tr
15,MAN 24.3x0
16,Škoda 24Tr Irisbus
17,Škoda 25Tr Irisbus
18,Škoda 26Tr Solaris
19,Škoda 27Tr Solaris
20,Škoda 28Tr Solaris
21,Ikarus 30
22,Škoda 30Tr SOR
23,Ikarus 31
24,Škoda 31Tr SOR
25,Škoda 32Tr SOR
26,Škoda 33Tr SOR
27,Škoda 35Tr
28,Ikarus 55
29,Ikarus 60
30,Ikarus 66
31,Tatra 86
32,МАЗ-103
33,МАЗ-104
34,МАЗ-105
35,МАЗ-107
36,Iveco UA 130
37,МАЗ-152
38,Ikarus 180
39,MAZ-203
40,МАЗ-205 (автобус)
41,МАЗ-206
42,Ikarus 250
43,МАЗ-251
44,МАЗ-256
45,Ikarus 260
46,Ikarus 280
47,Crown-Ikarus 286
48,Fiat 306
49,Fiat 308
50,Fiat 309
51,Ikarus 311
52,Custom Bus
53,Fiat 320
54,Fiat 341 A
55,Fiat 343
56,Ikarus 350
57,Iveco 370
58,Tatra 400
59,FAP 403 RHD
60,Ikarus 405
61,Ikarus 411
62,Ikarus 412
63,Ikarus 415
64,Ikarus 417
65,Fiat 418
66,Duple 425
67,Alfa Romeo 430A
68,Ikarus 435
69,Fiat 470
70,Ikarus 480
71,Ikarus 481
72,Ikarus 489 Polaris
73,Custom Bus
74,Custom Bus
75,Ikarus 556
76,Fiat 642RN
77,Fiat 666RN
78,PAZ-672
79,Fiat 672
80,Fiat 680RN
81,Fiat 682RN
82,LAZ-695
83,Škoda 706 RO
84,Škoda 706 RTO
85,Škoda 706 RTO-K
86,Alfa Romeo 900A
87,Oasa 901
88,Oasa 901
89,Alfa Romeo 902A
90,Oasa 903
91,Tata 1510/1512
92,Berkhof 2000NL
93,RAF-2203
94,Cobus 2400
95,Cobus 2700
96,Cobus 3000
97,International 3000
98,International 3300
99,International 3800
100,International 3900
101,Volvo 7700
102,Volvo 7900
103,Volvo 8500
104,Volvo 8700
105,Volvo 8900
106,Volvo 9700
107,Volvo 9900
108,CDX
109,MDX
110,RDX
111,LX
112,Stelvio
113,Humvee C-Series
114,e-tron
115,Q2
116,Q3
117,Q5
118,Q7
119,Q8
120,Yusheng 007
121,BJ20
122,BJ40
123,BJ40L/Plus
124,BJ80
125,BJ90
126,Bentayga
127,X1
128,X2
129,X3
130,X4
131,X5
132,X6
133,X7
134,X5 M
135,X6 M
136,BX5
137,BX7
138,FRV Cross
139,V3
140,V5
141,Encore
142,Enclave
143,Envision
144,Song
145,Tang
146,Yuan
147,Escalade
148,Escalade ESV
149,XT4
150,XT5
151,XT6
152,CX70
153,CS15
154,CS35
155,CS75
156,CS95
157,Q25
158,Q35
159,Tiggo
160,Tiggo 3
161,Tiggo 3X
162,Tiggo 5 / Grand Tiggo
163,Tiggo 7
164,Trax
165,Niva
166,Tracker
167,Captiva
168,Captiva Sport
169,Equinox
170,Blazer
171,Trailblazer
172,Traverse
173,Tahoe
174,Suburban
175,C3 Aircross
176,C3-XR
177,C4 Aircross
178,C5 Aircross
179,Knight XV
180,Sandero Stepway
181,Duster
182,Winstorm
183,Winstorm MaXX
184,Terios
185,Journey
186,Durango
187,Fengdu MX6
188,Fengshen AX3
189,Fengshen AX5
190,Fengshen AX7
191,3 Crossback
192,DS 7 Crossback
193,Artemis
194,Besturn X40
195,Besturn X80
196,Junpai D60
197,500X
198,Panda 4x4
199,Freemont
200,Explorer
201,Landfort
202,One
203,EcoSport
204,Kuga
205,Edge
206,Escape
207,Everest
208,Explorer
209,Flex
210,Expedition
211,Expedition EL
212,Puma
213,Sauvana
214,Sport Chassis
215,GM HydroGen4
216,Terrain
217,Acadia
218,Yukon
219,Yukon XL
220,GS1
221,New Jetstar
222,Aoosed G5
223,Haval H3
224,Haval H5
225,Haval H6
226,H6
227,H6 Coupe
228,Santa Fe
229,Boliger
230,Trax
231,Captiva
232,Colorado 7
233,Equinox
234,Acadia
235,BR-V
236,Vezel
237,CR-V
238,Pilot
239,Ridgeline
240,Crosstour
241,XR-V
242,HR-V
243,S2
244,S3
245,S6
246,Creta/ix25
247,Kona
248,Nexo
249,Santa Fe
250,Palisade
251,Tucson
252,Venue
253,EX / QX50
254,ESQ
255,FX / QX70
256,JX / QX60
257,QX / QX80
258,MU-X
259,S5
260,E-Pace
261,F-Pace
262,I-Pace
263,Renegade
264,Compass
265,Wrangler/ Wrangler 2 door
266,Wrangler Unlimited/Wrangler 4 door
267,Grand Cherokee
268,Grand Commander
269,S30
270,Borrego/Mohave
271,KX3
272,Niro
273,Seltos
274,Sorento
275,Sportage
276,Telluride
277,Niva
278,Xray
279,Urus
280,Defender
281,Range Rover Evoque
282,Freelander
283,Discovery Sport
284,Discovery
285,Range Rover Sport
286,Range Rover
287,X6
288,X7
289,GX
290,LX
291,NX
292,RX
293,UX
294,X60
295,X50
296,MKC
297,Aviator
298,Corsair
299,Nautilus
300,MKT
301,Navigator
302,Navigator L
303,Thar
304,Bolero
305,XUV500
306,Scorpio
307,Levante
308,CX-3
309,CX-30
310,CX-4
311,CX-5
312,CX-8
313,CX-9
314,MX-30
315,G-Class
316,GLA-Class
317,GLB-Class
318,GLC-Class
319,GLE-Class
320,GLE-Class Coupe
321,GLS-Class
322,ZS
323,GS
324,Countryman
325,ASX
326,Eclipse Cross
327,Outlander
328,Outlander PHEV
329,Pajero
330,X33
331,Armada
332,Juke
333,Murano
334,Pathfinder
335,Patrol Y61
336,Patrol Y62
337,Qashqai
338,Rogue
339,Skyline Crossover
340,Terrano
341,Paladin
342,Xterra
343,X-Trail
344,Antara
345,Crossland X
346,Mokka X
347,Nautica
348,2008
349,3008
350,4008
351,508 RXH
352,SUV
353,SUT
354,Macan
355,Cayenne
356,Premier RiO
357,Pronto
358,3 City SUV
359,Captur
360,Kadjar
361,Koleos
362,Sandero Stepway
363,Triber
364,QM5
365,QM3
366,W5
367,Cullinan
368,Dakara
369,Arona
370,Ateca
371,Tarraco
372,Kodiaq
373,Yeti
374,DX7 Bolang
375,V Cross
376,Grand Cherokee
377,Korando
378,Kyron
379,Rexton
380,Tivoli
381,XLV
382,Actyon Sports
383,Shuanghuan SCEO
384,Ascent
385,Crosstrek
386,Exiga Crossover 7
387,Forester
388,Outback
389,SX4
390,Jimny
391,Vitara
392,Tager
393,Tiggo
394,Sumo
395,Sumo Grande
396,Aria
397,Nexon
398,Harrier
399,Safari
400,Model X
401,Model Y
402,C-HR
403,RAV4
404,Land Cruiser Wagon 3-Door
405,Rush
406,Land Cruiser Wagon 4-Door
407,4Runner
408,Fortuner
409,Highlander
410,Harrier
411,Land Cruiser Prado 5-Door
412,Land Cruiser
413,Sequoia
414,T4
415,GS3
416,GS4
417,GS8
418,Patriot
419,Mokka
420,T70
421,SA2.0
422,V8
423,Atlas
424,T-Roc
425,Tiguan
426,Touareg
427,XC40
428,XC60
429,XC90
430,1E
431,2008
432,Damai X5
433,SR7
434,C3 Urban Ark
435,Landmark
436,Deskjet
437,DeskJet (original)
438,DeskJet Plus
439,DeskJet Portable
440,Deskjet 200cci
441,DeskJet 300j
442,Deskjet 310 / 310 with Sheetfeeder
443,Deskjet 320 / 320 with Sheetfeeder
444,Deskjet 340 / 340cbi / 340 cm / 340cv
445,Deskjet 350c / 350cbi
446,Deskjet 400 / 400L
447,Deskjet 420 / 420c
448,Deskjet 450cbi / 450vci / 450wbt
449,Deskjet 460c
450,Deskjet 460cb
451,Deskjet 460wf
452,Deskjet 460wbt
453,Deskjet 500 / 500c / 500k
454,Deskjet 505d / 505k
455,Deskjet 510
456,Deskjet 520
457,DeskJet 525q
458,Deskjet 540
459,Deskjet 550c
460,Deskjet 560c / 560j / 560k
461,Deskjet 600 / 600c / 600k
462,Deskjet 610c / 610cl
463,Deskjet 612c
464,Deskjet 630c
465,Deskjet 632c
466,Deskjet 640c / 640u
467,Deskjet 642c
468,Deskjet 648c
469,Deskjet 656c / 656cvr
470,Deskjet 660c / 660cse / 660k
471,Deskjet 670c / 670k / 670tv
472,Deskjet 672c
473,Deskjet 680c
474,Deskjet 682c
475,Deskjet 690c
476,Deskjet 692c / 692k
477,Deskjet 693c
478,Deskjet 694c
479,Deskjet 695c / 695cci
480,Deskjet 697c
481,Deskjet 710c
482,Deskjet 712c
483,Deskjet 720c
484,Deskjet 722c
485,Deskjet 810c
486,Deskjet 812c
487,Deskjet 815c
488,Deskjet 820cse / 820cxi
489,Deskjet 825c / 825cvr
490,Deskjet 830c
491,Deskjet 832c
492,Deskjet 840c
493,Deskjet 841c
494,Deskjet 842c
495,Deskjet 843c / 843cxe
496,Deskjet 845c / 845cv / 845cvr
497,Deskjet 850c / 850k
498,Deskjet 855c / 855cse / 855cxi
499,Deskjet 870cse / 870cxi / 870k
500,Deskjet 880c
501,Deskjet 882c
502,Deskjet 890c / 890cse
503,Deskjet 895cse / 895cxi
504,Deskjet 916c
505,Deskjet 920c / 920cvr / 920cxi
506,Deskjet 930c / 930 cm
507,Deskjet 932c
508,Deskjet 934c
509,Deskjet 935c
510,Deskjet 940c / 940cvr / 940cw / 940cxi
511,Deskjet 948c
512,Deskjet 950c
513,Deskjet 952c
514,Deskjet 955c
515,Deskjet 957c
516,Deskjet 959c
517,Deskjet 960c / 960cse / 960cxi
518,Deskjet 970cse / 970cxi
519,Deskjet 980cxi
520,Deskjet 990 cm / 990cse/ 990cxi
521,Deskjet 995c / 995ck
522,Deskjet 1000 / 1000cse / 1000cxi
523,Deskjet 1100c
524,Deskjet 1120c / 1120cse / 1120cxi
525,Deskjet 1125c
526,Deskjet 1180c
527,Deskjet 1200c / 1200c/PS
528,Deskjet 1220c / 1220c/PS / 1220cse / 1220cxi
529,Deskjet 1280
530,Deskjet 1600c / 1600 cm / 1600cn
531,Deskjet 3000 Printer
532,Deskjet 3050A Printer All-in-One
533,Deskjet 3320 / 3322 / 3323 3325
534,Deskjet 3420 / 3425 / 3450
535,Deskjet 3520 / 3535 / 3550
536,Deskjet 3620 / 3645 / 3648 / 3650 / 3653
537,Deskjet 3740 / 3743 / 3744 / 3745 / 3747 / 3748
538,Deskjet 3810 / 3816 / 3820 / 3822 / 3843 / 3845 / 3847 / 3848
539,Deskjet 3910 / 3915 / 3918 / 3920 / 3930 / 3938 / 3940
540,Deskjet 5145 / 5150 / 5155 / 5160
541,Deskjet 5420v / 5440 / 5442 / 5443
542,Deskjet 5550 / 5551 / 5552
543,Deskjet 5650 / 5650w / 5652 / 5655
544,Deskjet 5740 / 5743 / 5745 / 5748
545,Deskjet 5850
546,Deskjet 5940 / 5943
547,Deskjet 6122 / 6127
548,Deskjet 6520 / 6540 / 6543 / 6548
549,Deskjet 6620
550,Deskjet 6830v /6840 / 6843 / 6848
551,Deskjet 6940 / 6980
552,Deskjet 6988
553,Deskjet 6988dt
554,Deskjet 9300
555,Deskjet 9650 / 9670 / 9680
556,Deskjet 9800 / 9800d
557,Deskjet D1455
558,Deskjet D1520
559,Deskjet D1560
560,Deskjet D1660
561,Deskjet D2400
562,Deskjet D2430
563,Deskjet D2460
564,Deskjet D2530
565,Deskjet D2545
566,Deskjet D2560
567,Deskjet D2660
568,Deskjet D3650
569,Deskjet D4160
570,Deskjet D4260
571,DeskJet F380 All-in-One
572,DeskJet F4100 series All-in-One
573,Deskjet All-in-one F4185
574,DeskJet F4200 series All-in-One
575,DeskJet F4500 series All-in-One
576,HP SureSupply
577,Officejet [2]
578,Officejet (original)
579,Officejet 300
580,Officejet 330
581,Officejet 350
582,Officejet 500 series
583,Officejet 600
584,Officejet 610
585,Officejet 630
